1850253867554074953	RinStef3	'#DeepFake Lying #Kamala. #McDonalds'	2024-10-26 19:11:12	deep fake lying kamala mc donalds	#DeepFake #Kamala #McDonalds
1850290826418741455	PatriotForevah	'And you don’t think she’s a tyrant? This is who you’re voting for? Watch your backs. She’ll take you down. #Kamala #Trump'	2024-10-26 21:38:04	dont think shes tyrant youre voting watch backs shell take kamala trump	#Kamala #Trump
1850291036238807253	KarrDriver	'@catturd2 What?!?? So much gas lightning #Kamala'	2024-10-26 21:38:54	catturd much gas lightning kamala	#Kamala
1850291279391019510	notbusinessweek	'Boo’d at your own rally because you paid 10m for Beyoncé and promised them a concert but only got a plagiarized speech…why am I not surprised 😂 #beyonce #kamala #rally https://t.co/IP7jzGkBqC'	2024-10-26 21:39:52	bood rally paid beyonc promised concert got plagiarized speechwhy surprised beyonce kamala	#beyonce #kamala #rally
1850291329563046288	CanadasKenia	'@jimenezlessons4 Están sedientos de sangre, quieren a costa de los niños, la juventud eterna! Si la gente no ve que #kamala y #beyoncé están en el ojo del huracán #DiddyFreakoffs es porque no quieren reconocer su destino, abran los ojos🙏'	2024-10-26 21:40:04	jimenezlessons estn sedientos de sangre quieren costa los nios la juventud eterna si gente que kamala beyonc en el ojo del huracn diddy freakoffs es porque reconocer su destino abran ojos	#kamala #beyoncé #DiddyFreakoffs
1850291350236741724	AVKNC123	"'""I got a gal in #Kalamazoo!"" And she's going to be POTUS! #HarrisWalz2024 #HarrisWalzBringHope #Kamala #HarrisForThePeople https://t.co/94gzzSV3eb'"	2024-10-26 21:40:09	got gal kalamazoo shes going potus harris walz bring hope kamala people	#Kalamazoo #HarrisWalz2024 #HarrisWalzBringHope #Kamala #HarrisForThePeople
1850291482067980792	eke_chigoz15911	'@TimRunsHisMouth #Kamala+Harris# is Chief Incompetent surrounded by Incompetent Fans An omen that she has no Solution to the Needs and Problems of America The Incompetency of Kamala are Many'	2024-10-26 21:40:40	timrunshismouth kamalaharris chief incompetent surrounded fans omen solution needs problems america incompetency kamala many	#Kamala
1850291533813043500	censorwoke	'#KillTrump #DontVote #Kamala #NukeIsrael #KillBibi #FuckElon'	2024-10-26 21:40:53	kill trump dont vote kamala nuke israel bibi fuck elon	#KillTrump #DontVote #Kamala #NukeIsrael #KillBibi #FuckElon
1850291564880568588	jamespettit4	'#Trumpisafascist per his 5-star general chief of Staff, as he calls #Kamala one.'	2024-10-26 21:41:00	trumpisafascist per star general chief staff calls kamala one	#Trumpisafascist #Kamala
1850291593116283004	EarthDefense1	'@JimVandeHei @AlexThomp @HansNichols She's going to Lose then they all get to blame each other. Biden's team will say Joe would have won Kamala blew it. Kameltoe's team will say Joe's team is to blame. I can't wait it's going to be hilarious fun to watch this happen. #Kamala #KamalaHarris #KamalaGropedMe'	2024-10-26 21:41:07	jimvandehei alexthomp hansnichols shes going lose get blame bidens team say joe would kamala blew kameltoes joes cant wait hilarious fun watch happen harris groped	#Kamala #KamalaHarris #KamalaGropedMe
1850291661315690777	HolyReading666	'FINALLY. The winner of the 2024 US presidential elections has emerged. The new WORLD ORDER has been signed. It is clear now. Are you ready for the reading? #Kamala #Trump #Iran #Isreal #ElonMusk #Beyonce #Durk #MichelleObama #MAGA #USelection https://t.co/Yyvg4dGYtG'	2024-10-26 21:41:23	finally winner us presidential elections emerged new world order signed clear ready reading kamala trump iran isreal elon musk beyonce durk michelle obama g u selection	#Kamala #Trump #Iran #Isreal #ElonMusk #Beyonce #Durk #MichelleObama #MAGA #USelection
1850291817855533160	CathyGerosa	'Come on @ShehabKhan, if you are going to anchor @itvnews please learn how to pronounce #Kamala'	2024-10-26 21:42:00	come shehabkhan going anchor itvnews please learn pronounce kamala	#Kamala
1850291871777726718	MrMrsJohnPublic	'When you only invite death doctors to your rally. Then, when someone in the audience has a medical emergency, those death doctors have to ask the crowd for assistance because they apparently don't know how to treat humans who want to live. This is #Kamala campaign in a nutshell. https://t.co/AkTCROd8ye'	2024-10-26 21:42:13	invite death doctors rally someone audience medical emergency ask crowd assistance apparently dont know treat humans want live kamala campaign nutshell	#Kamala
1850292050849124502	DKCSCMadre	'She could have said anything but instead she’s talking about 2024. And there is no joyful way forward in a genocode. #Kamala @KamalaHQ'	2024-10-26 21:42:56	could said anything instead shes talking joyful way forward genocode kamala kamalahq	#Kamala
1850292076224655861	me_nobodyreally	'Flashback: #Kamala Harris Sponsored Legislation To Let 20,000 Illegal Aliens Loose Into the United States https://t.co/t9m6tQa0Vt'	2024-10-26 21:43:02	flashback kamala harris sponsored legislation let illegal aliens loose united states	#Kamala
1850292121606988073	MLTspecialties	'Cutest moment of the Harris campaign happened today at the rally in Kalamazoo, MI. From the attendees “Kamalazoo”❤️👏 #kamala'	2024-10-26 21:43:13	cutest moment harris campaign happened today rally kalamazoo mi attendees kamalazoo kamala	#kamala
1850292723976155220	freezius13	'Democrats? N is hidden sir, That's the ashkenazi tactic sir. #Kamala #Trump'	2024-10-26 21:45:36	democrats n hidden sir thats ashkenazi tactic kamala trump	#Kamala #Trump
1850292763449040946	Newarkguy1973	'It is incredible to see the incumbent vice president claim she is a New Direction while defending Joe Biden-Harris's record! Oh! Here we go with the Trump bashing. That didn't take long. #Kamala #Texas #Houston'	2024-10-26 21:45:46	incredible see incumbent vice president claim new direction defending joe bidenharriss record oh go trump bashing didnt take long kamala texas houston	#Kamala #Texas #Houston
1850292843518280032	wim_tweet	'I rest my case! ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️ #Trump #Kamala #Harris_Walz2024 https://t.co/F2IWQqH16F'	2024-10-26 21:46:05	rest case trump kamala harris walz	#Trump #Kamala #Harris_Walz2024
1850292853802729713	ipatcarroll	'I love @willynelson. Such a good sport, trying to save the day. Sending love ❤️ to Willy Nelson. But sweetheart, #Kamala is a puppet controlled by a Democrat machine. Vote for #Trump2024NowMoreThanEver. #Beyonce MUST HAVE KNOWN the effect her leaving without singing would have'	2024-10-26 21:46:07	love willynelson good sport trying save day sending willy nelson sweetheart kamala puppet controlled democrat machine vote trump ever beyonce must known effect leaving without singing would	#Kamala #Trump2024NowMoreThanEver #Beyonce
1850293127526994181	JonJBurrows	'@atensnut Love the white girl’s wig @Beyonce ! #BeyonceRipOffRally #KamalamaDingDong #Kamala #KamalaRally #KamalaRipOffRally #KamalaHarris https://t.co/FPcYEikK8T'	2024-10-26 21:47:13	atensnut love white girls wig beyonce rip rally kamalama ding dong kamala harris	#BeyonceRipOffRally #KamalamaDingDong #Kamala #KamalaRally #KamalaRipOffRally #KamalaHarris
1850293216207396920	fauxcin	'#MadamPresidentHarris #Kamala #VoteBlue2024ProtectWomensRights #VoteKamalaHarris2024 Don’t miss out. https://t.co/qTuwGHOnC7'	2024-10-26 21:47:34	madam president harris kamala vote blue protect womens rights dont miss	#MadamPresidentHarris #Kamala #VoteBlue2024ProtectWomensRights #VoteKamalaHarris2024
1850293269521223708	DebbieDem3	'#YesWeKam #MakeNoMistakeWeWillWin #Kamala-zoo Rally In Michigan Is On Fire. https://t.co/h1sHKd8CBW'	2024-10-26 21:47:46	yes kam make mistake win kamalazoo rally michigan fire	#YesWeKam #MakeNoMistakeWeWillWin #Kamala
1850293299934040436	shalynn77	'I was absolutely worried about that big rally and I was gonna say who’s really showing up and who are these people really here for but I didn’t say that because you know what maybe she’s that popular now I find out it was because of Beyoncé #Kamala'	2024-10-26 21:47:54	absolutely worried big rally gonna say whos really showing people didnt know maybe shes popular find beyonc kamala	#Kamala
1850293327574245861	SleazyWeez	'@KarluskaP Kamala high as a f*cking kite 🤪!!!!! #Kamala #KamalaHarris2024 https://t.co/MzUjFo3vuL'	2024-10-26 21:48:00	karluskap kamala high fcking kite harris	#Kamala #KamalaHarris2024
1850293482847404440	Gude__Wie	"'Der @sternde erlangt internationale ""Berühmtheit""! 😂 #Kamala #KamalaHarris'"	2024-10-26 21:48:37	der sternde erlangt internationale berhmtheit kamala harris	#Kamala #KamalaHarris
1850293674133041644	JoeyTechnicolor	'An Iranian response is likely to be so inconsequential that it will not merit direct retaliation from Israel. The tit-for-tat game will continue through proxies… #Israel #Iran #War #Tehran #TelAviv #Gaza #Palestine #Lebanon #Beirut #Syria #War #USA #Kamala #Trump #Oil #Nuclear'	2024-10-26 21:49:23	iranian response likely inconsequential merit direct retaliation israel titfortat game continue proxies iran war tehran tel aviv gaza palestine lebanon beirut syria u kamala trump oil nuclear	#Israel #Iran #War #Tehran #TelAviv #Gaza #Palestine #Lebanon #Beirut #Syria #War #USA #Kamala #Trump #Oil #Nuclear
1850293733763276902	SleazyWeez	'@KarluskaP Kamala high as a f*cking kite 🤪!!!! #Kamala #KamalaHarris2024 https://t.co/CJVrc63inV'	2024-10-26 21:49:37	karluskap kamala high fcking kite harris	#Kamala #KamalaHarris2024
1850293743393583208	GarrettGrimmett	'@KamalaHarris This is so disgusting and vial!!! She’s evil for doing this to parents!!! Shame on you #kamala'	2024-10-26 21:49:39	kamalaharris disgusting vial shes evil parents shame kamala	#kamala
1850293750490144950	manlyproducts	'#Kamala wants to lift children out of poverty- under one year with $6000 - well except those that got aborted don’t qualify #2024elections @VP'	2024-10-26 21:49:41	kamala wants lift children poverty one year well except got aborted dont qualify elections vp	#Kamala #2024elections
1850293777065230765	pseudoBoris1	'@1988_Alec @DimitrisSoudas Tellement ☝️ #Kamala vite quitte !'	2024-10-26 21:49:47	alec dimitrissoudas tellement kamala vite quitte	#Kamala
1850293814549688580	OzziesRobots	'@MrAndyNgo The real news is the desperation to prove #Kamala was qualified for a job at mcdonalds 🤪'	2024-10-26 21:49:56	mrandyngo real news desperation prove kamala qualified job mcdonalds	#Kamala
1850294003738038781	CMDprompt989	'@KamalaHarris @VP @harris_wins @KamalaHQLies @TeamKamala you're a LIAR! #liar #liaroftheyear #KamalaHarris #KamalaHarris2024 #KamalaIsALoser #KamalaThreatToOurDemocracy #kamala'	2024-10-26 21:50:41	kamalaharris vp harriswins kamalahqlies teamkamala youre liar liaroftheyear kamala harris loser threat democracy	#liar #liaroftheyear #KamalaHarris #KamalaHarris2024 #KamalaIsALoser #KamalaThreatToOurDemocracy #kamala
1850294105252729003	ChandletJeff	'#kamalaharris has some nerve to stand up up there any near about lowering prices food she is the one that caused them to skyrocketing to begin with.@KamalaHarris is in the office now why isn’t she fixing it now? Why are you not fixing it now? #Kamala you lying Marxist fraud?'	2024-10-26 21:51:06	kamalaharris nerve stand near lowering prices food one caused skyrocketing begin withkamalaharris office isnt fixing kamala lying marxist fraud	#kamalaharris #Kamala
1850294313743446312	nc_tigah	'https://t.co/RXyUT6fn12 #KamalaHarris #KamalaHarris2024 #Kamala #KamalaHarris4POTUS2024 #KamalaCaresForUS #MAGA #MAGA2024 #MAGAInsanity #MAGAIsWeird #MAGAIsWeird #MAGAMOVEMENT #Trump #Trump2024 #TrumpsRevenge2024 #Trump2024Vance'	2024-10-26 21:51:55	kamala harris p u cares g insanity weird v e n trump trumps revenge vance	#KamalaHarris #KamalaHarris2024 #Kamala #KamalaHarris4POTUS2024 #KamalaCaresForUS #MAGA #MAGA2024 #MAGAInsanity #MAGAIsWeird #MAGAIsWeird #MAGAMOVEMENT #Trump #Trump2024 #TrumpsRevenge2024 #Trump2024Vance
1850294591762608571	CorralGate2023	'#Kamala LIES AGAIN “ #Trump will raise sales tax to 20% “ and all the other bullshit. #Kalamazoo #Michigan LIAR LIAR LIAR HOW STUPID ARE YOUR FOLLOWERS!!! #KamalaCaresForUS 🙄🙄 #Kamala4President2024 Stupid is as stupid does. She is lying to you! @harris_wins @VP KARMA WILL GET'	2024-10-26 21:53:02	kamala lies trump raise sales tax bullshit kalamazoo michigan liar stupid followers cares u president lying harriswins vp karma get	#Kamala #Trump #Kalamazoo #Michigan #KamalaCaresForUS #Kamala4President2024
1850294615682756790	FederalRaserve	'@KamalaHarrisSOL $KAMALA $HARPER $SOL #KamalaHarris #KamalaHarris4POTUS2024 #Kamala'	2024-10-26 21:53:07	kamalaharrissol kamala harper sol harris p u	#KamalaHarris #KamalaHarris4POTUS2024 #Kamala
1850295154755674142	BoSmith3413	'So if y’all didn’t know #obama was the first biracial president . We never had a black president. #Kamala is #biracial. It never been a black president. Y’all #people needs to wake up.!! #voting doesn’t matter they going to do what they want to do anyway.'	2024-10-26 21:55:16	yall didnt know obama first biracial president never black kamala people needs wake voting doesnt matter going want anyway	#obama #Kamala #biracial #people #voting
1850295167913480286	Marquis_DeShade	'#Kamala's joyful warrior is now dead, much like the tens of thousands of kids in #Gaza.'	2024-10-26 21:55:19	kamalas joyful warrior dead much like tens thousands kids gaza	#Kamala #Gaza
1850295219771564477	ApocalypsePepe	'@ImMeme0 Most sane Kamala supporter #KamalaHarris #KamalaHarris2024 #Kamala #Election #election2024 #PresidentialElection2024 #Presidentialelection'	2024-10-26 21:55:31	immeme sane kamala supporter harris election presidential presidentialelection	#KamalaHarris #KamalaHarris2024 #Kamala #Election #election2024 #PresidentialElection2024 #Presidentialelection
1850295428430086150	Larry63204614	'#kamala #kamalaharris #election2024 https://t.co/qAjvu7Wn1T'	2024-10-26 21:56:21	kamala kamalaharris election	#kamala #kamalaharris #election2024
1850295489318752764	Larry63204614	'#kamala #kamalaharris #election2024 https://t.co/JHmg07SRKN'	2024-10-26 21:56:36	kamala kamalaharris election	#kamala #kamalaharris #election2024
1850295550236610805	KemalRijken	'Een incident. Iemand schreeuwt dat hij geen oorlog meer wil #kamala #harris #kalamazoo #election @ChrisAalberts https://t.co/eg8xIaq0rg'	2024-10-26 21:56:50	een incident iemand schreeuwt dat hij geen oorlog meer wil kamala harris kalamazoo election chrisaalberts	#kamala #harris #kalamazoo #election
1850295557732077710	Larry63204614	'#kamala #kamalaharris #election2024 https://t.co/0GvXz9BNHN'	2024-10-26 21:56:52	kamala kamalaharris election	#kamala #kamalaharris #election2024
1850295576048587007	Roman_Bolliger	'LiveStream from Erie, #Pennsylvania, with #BernieSanders, for #KamalaHarris: Trump no good example for kids, even many Republicans agree he is a threat to democracy, #Kamala #Harris is hope for protecting the climate, she cares for people, not billionaires https://t.co/g4g5sFhiT4'	2024-10-26 21:56:56	livestream erie pennsylvania bernie sanders kamala harris trump good example kids even many republicans agree threat democracy hope protecting climate cares people billionaires	#Pennsylvania #BernieSanders #KamalaHarris #Kamala #Harris
1850295615806460286	Trader888z	'RFK Jr.: Vote for #Kamala Is 'Vote for Nuclear War' https://t.co/VEukU6z6dg'	2024-10-26 21:57:06	rfk jr vote kamala nuclear war	#Kamala
1850295668562166101	SCcoast_agent	'🚨Looks like #Kamala has brought out the big guns 😏 big Mike aka Michelle Obama to convince people to settle for a fake black woman 🙄'	2024-10-26 21:57:18	looks like kamala brought big guns mike aka michelle obama convince people settle fake black woman	#Kamala
1850295691555528991	20976Momma	'Is Kamala's campaign going under? #kamala https://t.co/c2jTeZYxBB'	2024-10-26 21:57:24	kamalas campaign going kamala	#kamala
1850295919746666648	CuriousSquirre	'How can anyone #Vote for #Kamala after this? #Trump2024'	2024-10-26 21:58:18	anyone vote kamala trump	#Vote #Kamala #Trump2024
1850295940294578432	Larry63204614	'#kamala #kamalaharris #election2024 https://t.co/wpmpsJtCkM'	2024-10-26 21:58:23	kamala kamalaharris election	#kamala #kamalaharris #election2024
1850296132758552719	wolfhalll	'What is it with Democrat women and wearing oversized men’s suits. #Kamala #MichelleObama'	2024-10-26 21:59:09	democrat women wearing oversized mens suits kamala michelle obama	#Kamala #MichelleObama
1850296296189411713	Always_Trump24	'@KamalaHarris @KamalaHQ #Kamala, it’s out of reach BECAUSE OF YOU! Are you dense?!'	2024-10-26 21:59:48	kamalaharris kamalahq kamala reach dense	#Kamala
1850296411801210989	CRYPT0N1TE	'I've been watching every speech by BOTH candidates. #KamalaHarris and #DonaldTrump . I clearly see which is the racist. Who do you think is the racist?, #Kamala #Harris or #Donald #Trump. Please #RT for larger sample.'	2024-10-26 22:00:16	ive watching every speech candidates kamala harris donald trump clearly see racist think please r larger sample	#KamalaHarris #DonaldTrump #Kamala #Harris #Donald #Trump #RT
1850296423062831239	rr2557	'Your democrat candidate for President. #Kamala'	2024-10-26 22:00:18	democrat candidate president kamala	#Kamala
1850296427143979069	Bmoore53	'#DoSomething #KamalaHarris2024 #Kamala'	2024-10-26 22:00:19	something kamala harris	#DoSomething #KamalaHarris2024 #Kamala
1850296497117561342	LibSahara	'She’s hitting this speech flawlessly! #Kamala'	2024-10-26 22:00:36	shes hitting speech flawlessly kamala	#Kamala
1850296579183325556	ATressler	'@Pegkel @KaivanShroff @johnpavlovitz just that her bad #AI persona is better than the real #Kamala at least more believable 😉 10 more days 🗳️'	2024-10-26 22:00:55	pegkel kaivanshroff johnpavlovitz bad persona better real kamala least believable days	#AI #Kamala
1850296592105910459	3DBit	'@bennyjohnson #Cowmala #Clownmala #Skamala #Kamala #Scamala #blackface #laughingCow #Hyena #Laugh #Vote #MAGA #Trump #respect 🇺🇸 #US #America https://t.co/FJ08Yu1HUy'	2024-10-26 22:00:59	bennyjohnson cowmala clownmala skamala kamala scamala blackface laughing cow hyena laugh vote g trump respect u america	#Cowmala #Clownmala #Skamala #Kamala #Scamala #blackface #laughingCow #Hyena #Laugh #Vote #MAGA #Trump #respect #US #America
1850296608342028331	DogePuertoRico	'@WallStreetApes All these people are wealthy 🤑 they don’t feel the impact of #inflation. They’re in it for the money 💰. #Kamala and others are writing big checks, while these celebrities grab the cash, knowing the #Democrats are paying big bucks, especially now out of desperation. They’ve'	2024-10-26 22:01:02	wallstreetapes people wealthy dont feel impact inflation theyre money kamala others writing big checks celebrities grab cash knowing democrats paying bucks especially desperation theyve	#inflation #Kamala #Democrats
1850296756694859829	freezius13	'Hes controlled opposition *fake hero* same as trump, Only difference is that joe rogan is a podcaster, and He's politician. #Trump #JoeRogan #Kamala'	2024-10-26 22:01:38	hes controlled opposition fake hero trump difference joe rogan podcaster politician kamala	#Trump #JoeRogan #Kamala
1850296776429113421	DRJACOBB	'@Bren45000 @SeldenGADawgs @RealJamesWoods She’s #JordanBowen the one SCREAMING at the toddler—in the TODDLER’s FACE—is a PAID #kamala #harris #ProChoice👿organizer. I’ve mentioned how #kamalaHarris HATES children. But her workers HATE children too. Anyone who fights that hard to rip babies APART is a sick, sick,'	2024-10-26 22:01:43	bren seldengadawgs realjameswoods shes jordan bowen one screaming toddlerin toddlers faceis paid kamala harris pro choiceorganizer ive mentioned hates children workers hate anyone fights hard rip babies apart sick	#JordanBowen #kamala #harris #ProChoice #kamalaHarris
1850296883215798330	Always_Trump24	'@TrumpWarRoom She continues to tell us what we already know because we are the ONES WHO’VE SUFFERED UNDER HER WATCH! #Kamala is unhinged!'	2024-10-26 22:02:08	trumpwarroom continues tell us already know ones whove suffered watch kamala unhinged	#Kamala
1850297109511118900	millmerlot	'Holy. Shit. #Kamala is done'	2024-10-26 22:03:02	holy shit kamala done	#Kamala
1850297119262777703	NexGenRecon	'@cenkuygur @TheYoungTurks #Kamala has shown true cruelty to people as a prosecutor. https://t.co/oPw7tyFRzn'	2024-10-26 22:03:04	cenkuygur theyoungturks kamala shown true cruelty people prosecutor	#Kamala
1850297292881899526	Wizard_of_Ouzo	'@Leland_Palmer77 @bennyjohnson #Kamala says a lot, flips frequently and her words rarely match her actions, even in the very rare cases when her word salad gibberish can at least be deciphered.'	2024-10-26 22:03:46	lelandpalmer bennyjohnson kamala says lot flips frequently words rarely match actions even rare cases word salad gibberish least deciphered	#Kamala
1850297438143414602	ipaideight	'And Trump is the fascist n@zi huh? #Trump2024 #JoeRogan #Kamala #Biden #dnc'	2024-10-26 22:04:20	trump fascist nzi huh joe rogan kamala biden dnc	#Trump2024 #JoeRogan #Kamala #Biden #dnc
1850297494422601967	PhilipRafferty5	'Dougie loves a fortune cookie! #kamala #kamalaharris #comedy https://t.co/wnNTGdra7O via @YouTube'	2024-10-26 22:04:34	dougie loves fortune cookie kamala kamalaharris comedy via youtube	#kamala #kamalaharris #comedy
1850297804054532553	DogePuertoRico	'@Outspoken_Sam All these people are wealthy 🤑 they don’t feel the impact of #inflation. They’re in it for the money 💰. #Kamala and others are writing big checks, while these celebrities grab the cash, knowing the #Democrats are paying big bucks, especially now out of desperation. They’ve'	2024-10-26 22:05:48	outspokensam people wealthy dont feel impact inflation theyre money kamala others writing big checks celebrities grab cash knowing democrats paying bucks especially desperation theyve	#inflation #Kamala #Democrats
1850297859985551404	gaugeluvliberty	'If you don’t wanna vote for trump at least vote for RFK,Elon,and tulsi there is no comparison on the other side it’s not even close #trump #kamala #2024'	2024-10-26 22:06:01	dont wanna vote trump least rfkelonand tulsi comparison side even close kamala	#trump #kamala #2024
1850298511901982959	ILA_NewsX	'@TimRunsHisMouth Truth: #Kamala https://t.co/tRkT9Lu9Sn'	2024-10-26 22:08:36	timrunshismouth truth kamala	#Kamala
1850298557460332707	camethedawnxp	'#MeToo #heforshe #Feminism #rapeculture #roe #RoevWade #Roevember #RoeOverturned #p2 #KamalaHarris #Kamala #AbortionIsHealthcare 👇 https://t.co/HzCwWCpREM'	2024-10-26 22:08:47	heforshe feminism rapeculture roe roev wade roevember overturned p kamala harris abortion healthcare	#MeToo #heforshe #Feminism #rapeculture #roe #RoevWade #Roevember #RoeOverturned #p2 #KamalaHarris #Kamala #AbortionIsHealthcare
1850298661005107362	Annietiques	'#Kamala #HarrisWalz #VoteBlue #VoteBlueAsifYourLivesDependonit https://t.co/dckdY67UmG'	2024-10-26 22:09:12	kamala harris walz vote blue asif lives dependonit	#Kamala #HarrisWalz #VoteBlue #VoteBlueAsifYourLivesDependonit
1850298874109526145	TurboDog50	'Pennsylvania: #Kamala doesn’t give a frack about you! #VOTETRUMPVANCE2024'	2024-10-26 22:10:03	pennsylvania kamala doesnt give frack v e r u p n c	#Kamala #VOTETRUMPVANCE2024
1850299113352389096	SharonH75725	'#kamala is a fkn lunatic. @realDonaldTrump 2024'	2024-10-26 22:11:00	kamala fkn lunatic realdonaldtrump	#kamala
1850299208324018415	MaricelColquit	'This cannot be reshared enough. #viral #viral2024 #Kamala #Harris #HarrisWaltz2024'	2024-10-26 22:11:22	cannot reshared enough viral kamala harris waltz	#viral #viral2024 #Kamala #Harris #HarrisWaltz2024
1850299234828111953	KenCasey17	'I voted early today for Kamala and Tim! #Kamala #Tim #vote #voteblue #voteearly #fordemocracy #Hope #Harris_Walz2024 @KamalaHarris @Tim_Walz https://t.co/t0wcF5128b'	2024-10-26 22:11:29	voted early today kamala tim vote voteblue voteearly fordemocracy hope harris walz kamalaharris timwalz	#Kamala #Tim #vote #voteblue #voteearly #fordemocracy #Hope #Harris_Walz2024
1850299419297464350	sam85175088	'https://t.co/kOAQ5t3ENF 18-24 young men and women #kamala called you stupid, #you are if you #vote for her,to the student who were denied their right of freedom of speech for supporting #gaza #DO #NOT #VOTE FOR #KAMALA'	2024-10-26 22:12:13	young men women kamala called stupid vote herto student denied right freedom speech supporting gaza n v e k l	#kamala #you #vote #gaza #DO #NOT #VOTE #KAMALA
1850299528374575348	MiaCaporale25	'Notorious serial liar #Kamala Harris is bing mocked after Diddy’s friend Beyoncé fails to perform at her #Houston #Texas rally Deceiving Harris lied - ‘Baited people with a free concert’ wasn’t one. Harris paid Beyoncé 10 million to speak for 3 minutes. #Austin #Elpaso https://t.co/ANTFBFBJf1'	2024-10-26 22:12:39	notorious serial liar kamala harris bing mocked diddys friend beyonc fails perform houston texas rally deceiving lied baited people free concert wasnt one paid million speak minutes austin elpaso	#Kamala #Houston #Texas #Austin #Elpaso
1850299585207435703	rlynch42210196	'Epic Kamala fail 😂😂 #fyp #funny #kamala #trump https://t.co/WWb0Ik3y7n via @YouTube'	2024-10-26 22:12:52	epic kamala fail fyp funny trump via youtube	#fyp #funny #kamala #trump
1850299635098861992	TxWallie	'DO NOT trust #Kamala'	2024-10-26 22:13:04	trust kamala	#Kamala
1850299678161555552	s37813560	'@RedpillDrifter @vp @harris_wins #Kamala'	2024-10-26 22:13:14	redpilldrifter vp harriswins kamala	#Kamala
1850299874677526728	NatlDay	'What Kamala's Star Twerker Beyonce was a no show ?? #Jesus #Trump2024 #MAGA #MAHA #USA #Ireland #Canada #Poland #Japan #Australia #UFC #spacex #NASA @realDonaldTrump @JDVance @RobertKennedyJr @elonmusk #Christians #Catholics #Kamala #EU #WW3 #WaPoMeltDown #BTC #Crypto #Beyonce'	2024-10-26 22:14:01	kamalas star twerker beyonce show jesus trump g h u ireland canada poland japan australia f c spacex n realdonaldtrump jdvance robertkennedyjr elonmusk christians catholics kamala e w wa po melt b crypto	#Jesus #Trump2024 #MAGA #MAHA #USA #Ireland #Canada #Poland #Japan #Australia #UFC #spacex #NASA #Christians #Catholics #Kamala #EU #WW3 #WaPoMeltDown #BTC #Crypto #Beyonce
1850299886840734077	Rosietheoutlaw	'#Kamala harris is Oswald bates Check out david_bde_sancheezy's video! #TikTok https://t.co/vSMNW5zhcU'	2024-10-26 22:14:04	kamala harris oswald bates check davidbdesancheezys video tik tok	#Kamala #TikTok
1850299945875804457	3DBit	'#Cowmala #Clownmala #Skamala #Kamala #Scamala #blackface #laughingCow #Hyena #Laugh #Vote #MAGA #Trump #respect 🇺🇸 #US #America https://t.co/OALcz9eIpS'	2024-10-26 22:14:18	cowmala clownmala skamala kamala scamala blackface laughing cow hyena laugh vote g trump respect u america	#Cowmala #Clownmala #Skamala #Kamala #Scamala #blackface #laughingCow #Hyena #Laugh #Vote #MAGA #Trump #respect #US #America
1850300034195312714	GeorgeSeah88	'AI vs HI: The #Kamala #Harris Campaign Ad PARODY that went virus by #Elon #Musk's retweet.'	2024-10-26 22:14:39	ai vs hi kamala harris campaign ad parody went virus elon musks retweet	#Kamala #Harris #Elon #Musk
1850300067162276006	MyaRochelleGirl	'Look at these fake doctors that can't help in an emergency medical situation Someone needs to investigate who they REALLY are &amp; why they didn't uphold their oath if they are REAL doctors I'm betting they are paid actors just like all of Kamel Toe's fake supporters 😂 #Kamala'	2024-10-26 22:14:47	look fake doctors cant help emergency medical situation someone needs investigate really amp didnt uphold oath real im betting paid actors like kamel toes supporters kamala	#Kamala
1850300219767808433	ramosnadia	'Falta 9 días para las elecciones de USA !Vamos #Kamala!'	2024-10-26 22:15:23	falta das para las elecciones de usa vamos kamala	#Kamala
1850300281428271513	heathermartinw4	'When you can’t get your point across with facts, you start screaming at people. Some walk away from this action, other’s thinks it’s a sign of strength.. nah. Strong women don’t need to raise their voice.. it’s a look baby. People follow strength not screaming. #Kamala'	2024-10-26 22:15:38	cant get point across facts start screaming people walk away action others thinks sign strength nah strong women dont need raise voice look baby follow kamala	#Kamala
1850300382637080816	lairdmaxwell	'#Kamala #Liar #VoteEarly'	2024-10-26 22:16:02	kamala liar vote early	#Kamala #Liar #VoteEarly
1850300505643204712	DesignPolice	'@jimstewartson Indeed. Tfg 45 is staging a full-on campaign of gangsta gaslighting &amp; brimstone -he appears in blackface now -practicing for his #NYC #MadisonSquareGarden garbage, anger &amp; doom ⚒️ rally. Trump’s #Project2025 plan is already going into action -better read📕 it asap. #VOTE #Kamala'	2024-10-26 22:16:32	jimstewartson indeed tfg staging fullon campaign gangsta gaslighting amp brimstone appears blackface practicing n c madison square garden garbage anger doom rally trumps project plan already going action better read asap v e kamala	#NYC #MadisonSquareGarden #Project2025 #VOTE #Kamala
1850300579744186595	TimTyrrellNY	'I voted. I can confirm the tally so far is Kamala 1, trump 0. #VOTE #VoteBlueUpandDownBallot #Kamala #HarrisWaltz2024 https://t.co/8I6cb4WlSm'	2024-10-26 22:16:49	voted confirm tally far kamala trump v e vote blue upand ballot harris waltz	#VOTE #VoteBlueUpandDownBallot #Kamala #HarrisWaltz2024
